#{"t_start": 1595093828.9020002, "env_id": "cdtn-more-simplified-v2"}
r,l,t
0.037152,60,416.62763
0.002247,60,842.280089
0.000351,60,1187.787025
0.0,60,1264.554091
0.001958,60,1498.076279
0.0,60,1909.617585
0.001545,60,2257.060257
1.078985,60,2395.5602
0.0,60,2792.158788
0.010822,60,3206.43163
0.003424,60,3554.848526
0.0,60,3635.587737
0.0,60,3751.913089
0.00228,60,4188.424305
0.509565,60,4564.490384
0.435801,60,4979.408755
0.0,60,5073.801213
0.0,60,5148.063733
0.0,60,5514.386376
0.0,60,5591.199955
0.85064,60,5921.159752
0.057901,60,6379.844652
0.0,60,6540.167058
0.0,60,6697.849412
0.0,60,6843.319201
0.101807,60,7164.097147
0.0,60,7534.379212
0.304553,60,7942.557362
0.0,60,8053.578008
0.00057,60,8416.971777
0.019475,60,8870.170492
0.024419,60,9292.261735
0.001483,60,9724.811557
1.759583,60,9991.312609
0.0,60,10172.062762
0.003651,60,10595.270191
2.663044,60,10758.082632
0.0,60,11050.284096
0.743527,60,11211.125304
0.002985,60,11644.944188
0.650383,60,12044.307513
1.684723,60,12291.593825
0.0,60,12378.812025
0.007199,60,12803.850557
1.135714,60,13213.887007
0.003262,60,13611.739719
0.0,60,13742.558188
0.0,60,13879.603183
0.174852,60,14125.339637
0.0,60,14237.547279
1.452272,60,14509.114815
1.227401,60,14727.451563
1.161292,60,15086.233686
1.363577,60,15297.844647
2.675173,60,15469.630842
0.34521,60,15890.264608
2.703412,60,16110.108288
0.012469,60,16553.701564
3.275674,60,16702.08365
0.00209,60,17104.863755
0.003344,60,17503.541192
0.998292,60,17841.243822
0.000329,60,18299.442088
1.579622,60,18485.573673
1.363959,60,18786.013114
0.542489,60,19211.650404
0.0012,60,19672.860921
0.175015,60,20144.795375
0.092295,60,20523.553226
1.345035,60,20783.352904
1.830937,60,20922.712204
2.754563,60,21060.553999
1.495096,60,21284.133703
2.520387,60,21444.465056
0.95478,60,21742.473943
2.908313,60,21874.545187
2.33796,60,22052.697863
1.994245,60,22328.004142
0.0,60,22624.512889
2.570207,60,22819.077922
1.436426,60,23005.971428
1.888566,60,23181.822267
2.783063,60,23397.939069
1.482571,60,23521.277855
0.011571,60,23874.295743
0.0,60,24144.615989
0.0,60,24525.453545
1.355066,60,24866.523118
2.792017,60,25001.770564
1.886886,60,25153.206234
6.2e-05,60,25320.280278
2.655498,60,25563.526587
2.640865,60,25785.116992
1.991917,60,26020.417444
3.208481,60,26156.95797
2.967477,60,26294.636222
3.036781,60,26428.210324
0.458318,60,26692.857843
2.335788,60,26879.179112
2.511929,60,27010.198795
2.196997,60,27143.462106
2.213845,60,27272.408519
3.651132,60,27449.133862
3.303922,60,27580.0634
3.969719,60,27728.834205
3.901464,60,27870.756037
1.659571,60,28096.042753
0.443415,60,28220.146909
0.0,60,28315.244879
3.164712,60,28508.172648
3.884487,60,28650.670174
0.0,60,28725.605927
0.0,60,28840.75584
0.331129,60,29229.795484
0.915474,60,29452.270294
0.0,60,29590.297848
1.292693,60,29731.9814
3.200549,60,29865.961071
3.037613,60,30092.173582
2.958696,60,30221.081934
4.126235,60,30356.983342
1.420168,60,30492.325974
2.206943,60,30762.819869
1.283001,60,30917.803151
3.486166,60,31059.786464
0.0,60,31374.344589
2.82841,60,31510.607956
4.041837,60,31673.716399
0.0,60,31915.990884
0.0,60,31993.410777
0.0,60,32112.29511
0.0,60,32240.445192
2.123455,60,32372.532865
0.25617,60,32737.633468
0.000575,60,33129.871281
4.392325,60,33288.637554
0.0,60,33463.149101
0.0,60,33762.949837
2.822406,60,33907.18627
0.162774,60,34301.407456
0.0,60,34632.942522
0.0,60,34720.089568
0.002301,60,35083.677731
0.0,60,35173.637906
0.0,60,35364.014834
0.0,60,35455.446589
1.387952,60,35614.174609
0.0,60,35875.11788
3.462107,60,36022.309446
0.0,60,36354.236617
0.60039,60,36486.318873
1.446065,60,36619.559568
1.17474,60,36849.446642
0.769883,60,37076.158243
1.67446,60,37210.41179
1.451712,60,37356.671657
0.0,60,37431.327365
1.088257,60,37741.507219
1.626739,60,38094.204605
0.492415,60,38221.490403
0.000482,60,38463.402598
1.796069,60,38655.990828
0.0,60,38909.923761
0.379249,60,39345.786433
1.372649,60,39648.804314
1.862432,60,40029.135721
0.0,60,40107.715323
0.0,60,40215.956542
1.874761,60,40518.942822
0.0,60,40692.238422
1.963273,60,40877.591331
0.0,60,40959.278297
0.0,60,41077.81866
0.002848,60,41487.113521
0.0,60,41730.476758
0.0,60,42054.125983
0.0,60,42251.079603
0.0,60,42672.726012
1e-06,60,42770.274031
2.290499,60,42892.282389
0.127435,60,43357.011129
0.9264,60,43480.501312
0.0,60,43876.851909
0.001373,60,44218.674818
1.616326,60,44365.326873
0.003328,60,44627.542157
0.0,60,44954.287486
0.127255,60,45402.041705
1.474383,60,45733.464923
0.0,60,45808.102465
0.0,60,45941.166934
0.000114,60,46377.164761
4.5e-05,60,46853.06516
0.913759,60,47190.666238
0.514978,60,47573.764623
0.0,60,47675.690306
0.0,60,47831.912659
5e-06,60,47963.203689
1.398728,60,48241.649403
2.555715,60,48425.20616
0.000872,60,48706.349327
1.063506,60,48856.738747
0.780673,60,48978.402061
2.118288,60,49110.804293
0.069324,60,49498.809695
2.64775,60,49670.106042
0.001967,60,50060.00796
0.000947,60,50436.287617
0.0,60,50682.432924
0.004365,60,51080.333398
0.73078,60,51243.378117
0.623531,60,51373.554191
1.662524,60,51501.532672
0.749415,60,51836.622259
0.001054,60,52132.972584
0.0,60,52476.250727
0.0,60,52559.792039
0.415107,60,53022.899172
0.453245,60,53424.018309
0.0,60,53549.528588
2.14881,60,53684.207913
0.25119,60,53915.674516
0.0,60,53989.573207
0.0,60,54288.185877
5.5e-05,60,54654.022884
2.096213,60,54912.897904
0.00125,60,55427.93981
1.311992,60,55551.738045
0.549563,60,55767.353679
0.000163,60,56093.161361
0.008037,60,56504.449682
0.995048,60,56777.865756
0.35167,60,57131.556304
1.4e-05,60,57413.538725
0.967378,60,57739.069047
0.000771,60,58223.057445
4.478627,60,58352.732576
0.892952,60,58757.197694
0.005346,60,59165.728899
1.5e-05,60,59494.633611
0.0,60,59579.98065
0.003164,60,59981.152186
0.011879,60,60161.157019
0.0,60,60233.986332
0.001354,60,60701.418444
0.0,60,60776.248334
0.000107,60,61237.954117
0.0,60,61601.94083
2.294238,60,61735.936326
0.001321,60,61909.105561
3.790676,60,62041.423443
2.358946,60,62172.094224
0.582689,60,62518.159209
1.894288,60,62796.404495
0.001599,60,63245.035872
0.000753,60,63733.82443
0.0,60,63933.750937
0.38696,60,64303.068568
0.002384,60,64780.56027
0.818063,60,65067.735809
0.001354,60,65534.447738
0.001057,60,65926.102842
0.0,60,66001.26113
0.023793,60,66249.645455
1.445409,60,66549.021503
0.114359,60,66913.49331
0.001538,60,67338.172939
1.685573,60,67624.343828
5.300123,60,67755.14006
0.0,60,68033.258812
0.0,60,68408.598974
0.083909,60,68819.840267
2.398694,60,68979.748644
0.0,60,69053.921807
0.0,60,69383.101855
0.0,60,69771.003153
4.930061,60,69901.902297
0.33172,60,70298.908151
2.251106,60,70502.457676
0.661846,60,70848.505833
0.005798,60,71261.825601
3.073558,60,71417.751675
0.996767,60,71776.359518
2.293544,60,71922.004938
6.8e-05,60,72398.529566
2.089004,60,72532.932071
1.162657,60,72714.032972
0.281945,60,73076.001946
0.000243,60,73331.27339
2.662766,60,73461.911647
0.006084,60,73872.287313
5.50593,60,74003.041166
0.716417,60,74223.07323
0.0,60,74310.612739
0.0,60,74384.75546
0.0,60,74458.463825
1.952759,60,74588.567523
1.345284,60,74830.329268
0.000215,60,75289.410209
0.0,60,75474.156586
1.512174,60,75756.759979
1.277593,60,76019.882987
3.31803,60,76153.034665
0.0,60,76379.564122
1.034288,60,76661.9117
1.201608,60,76944.722413
1.99384,60,77079.026806
0.000245,60,77557.388513
0.0,60,77674.959192
0.0,60,77759.52143
1.100629,60,78059.5891
3.403372,60,78191.673868
0.0,60,78494.995106
1.359552,60,78763.30932
2.301533,60,78894.590807
0.58764,60,79332.132928
2.051876,60,79597.515046
0.0,60,79673.549485
0.000682,60,80168.410194
0.208046,60,80578.911371
0.0,60,80711.843386
0.00014,60,81186.179854
0.000904,60,81369.071218
1.6e-05,60,81827.080746
0.0,60,82145.603066
1.212084,60,82347.812643
1.146265,60,82647.200934
0.34931,60,82781.855901
0.0,60,82911.10712
2.011905,60,83040.481411
2.427526,60,83175.758226
0.01539,60,83305.168001
0.000174,60,83711.572399
0.0,60,83798.696108
0.964964,60,84029.721993
0.0,60,84257.122332
1.7e-05,60,84722.393989
1.207566,60,84945.791892
3.72858,60,85071.48632
0.994347,60,85315.370078
1.529288,60,85636.284218
0.0,60,86103.576327
0.31138,60,86433.08406
0.369823,60,86794.661806
0.472413,60,86933.92994
0.0,60,87007.074149
1.236368,60,87231.310604
0.809769,60,87350.990642
0.650453,60,87695.403241
3.752603,60,87844.231029
0.0,60,88233.1537
0.500062,60,88456.456288
2.336712,60,88714.717255
1.004981,60,88984.624388
0.002424,60,89362.755301
1.894038,60,89536.389573
0.058393,60,89988.179742
1.856624,60,90121.683933
0.988178,60,90445.530704
1.761383,60,90575.649288
1.197664,60,90905.952543
0.90105,60,91150.833623
2.161263,60,91475.04328
1.569373,60,91725.665429
0.019458,60,92202.927136
0.0,60,92350.86856
1.770884,60,92482.974823
0.0,60,92637.453357
1.867103,60,92800.012958
2.304316,60,92973.912471
4.61155,60,93103.118096
8.7e-05,60,93578.620283
1.774582,60,93745.50176
1.088376,60,93991.142549
0.446889,60,94313.951002
0.545479,60,94697.757294
1.064122,60,95063.977705
0.847214,60,95207.029192
4.895342,60,95346.987543
3.114759,60,95473.793193
0.0,60,95759.052765
0.572802,60,96145.279699
1.085405,60,96465.976859
0.0,60,96555.311934
0.0,60,96631.439928
0.000283,60,97015.451
2.551431,60,97210.444616
0.102238,60,97621.435877
1.939354,60,97831.503016
1.913669,60,98046.627879
0.0,60,98125.412318
0.36743,60,98495.542372
1.485674,60,98796.518167
1.506057,60,99039.539022
0.118258,60,99441.195333
5.11218,60,99572.021096
4.573972,60,99728.823894
0.0,60,100101.308704
0.0,60,100180.355
0.523356,60,100589.276247
2.04346,60,100798.612523
1.786616,60,101066.428396
0.0,60,101157.140142
0.438642,60,101378.255242
0.245509,60,101774.583272
1.528306,60,101897.648579
2.036489,60,102123.50391
0.0,60,102200.645253
1.14097,60,102520.559614
0.0,60,102596.962835
0.00285,60,102989.302345
2.503664,60,103145.621262
0.34269,60,103277.261682
1.202461,60,103568.087727
0.536581,60,103725.466141
3.744716,60,103889.166855
3.3e-05,60,104065.058135
7e-06,60,104181.942623
1.990316,60,104402.116776
2.145095,60,104595.424821
5.115564,60,104726.2828
2.3e-05,60,104849.371721
3.770691,60,105001.93128
0.009977,60,105105.166846
0.305317,60,105373.81239
1.486455,60,105504.674395
1.591122,60,105714.805419
0.0,60,105793.212358
4e-06,60,106040.216488
0.0,60,106171.840401
0.0,60,106245.916323
0.0,60,106352.396566
0.0,60,106547.100109
0.706272,60,106798.521938
1.812182,60,106934.250764
0.384415,60,107201.459067
2.652401,60,107315.560549
0.0,60,107395.847869
1.030201,60,107785.647312
0.064837,60,107912.052031
0.0,60,108081.844166
0.435839,60,108441.264546
1.222295,60,108714.926501
0.000124,60,108849.758512
1.367695,60,108985.987781
0.715732,60,109296.365679
4.36985,60,109444.519617
0.0,60,109575.657346
0.0,60,109700.168965
1.196113,60,109824.277972
1.947025,60,110044.049409
0.860929,60,110366.638592
0.0,60,110439.575606
1.499023,60,110614.359143
2.107442,60,110783.805422
2.043513,60,111005.948022
0.38608,60,111318.430491
1.764147,60,111549.079831
0.0,60,111626.430917
1.404548,60,111880.78494
0.048119,60,112383.604712
0.285714,60,112513.079482
0.0,60,112642.516922
1.30231,60,112770.014238
0.0,60,112845.235654
1.124837,60,113175.2392
0.0,60,113249.412771
3.132486,60,113449.122075
0.493352,60,113668.630231
1.9e-05,60,113800.874626
2.631904,60,113958.781634
0.693669,60,114124.778637
2.933297,60,114275.509048
0.0,60,114348.680802
0.0,60,114422.398312
0.000429,60,114743.262863
0.0,60,114852.3501
1.389771,60,114975.155885
0.0,60,115048.361781
0.342712,60,115219.064811
0.002621,60,115479.384456
0.0,60,115855.42466
0.548377,60,115992.590361
2.937467,60,116125.259827
0.0,60,116200.27299
1.636331,60,116379.631816
1.356833,60,116672.870694
0.007232,60,117055.472008
2.787971,60,117212.448302
0.428571,60,117337.653991
1.050642,60,117647.184937
1e-06,60,117895.438528
2.174466,60,118027.142152
1.458163,60,118163.411351
0.0,60,118477.859055
1.909759,60,118796.080111
4.344397,60,118943.914018
0.0,60,119018.121721
1.602157,60,119215.856966
0.0,60,119289.525218
0.0,60,119362.55766
1.166662,60,119539.413735
0.0,60,119721.089349
2.107116,60,119849.07008
0.622438,60,120166.578346
1.403786,60,120305.155635
0.719585,60,120634.68515
3.793878,60,120803.107962
0.0,60,121141.625812
0.022928,60,121288.916988
0.000112,60,121754.172678
0.772657,60,121894.902833
1.561528,60,122123.382179
1.534968,60,122344.386478
1.202201,60,122639.833081
0.995194,60,122812.724956
0.0,60,123067.216773
0.0,60,123182.899479
1.023807,60,123318.927073
0.0,60,123450.869761
1.380473,60,123596.316287
1.806167,60,123751.884336
6e-05,60,124193.347294
3.4e-05,60,124325.45771
0.681868,60,124546.539963
0.0,60,124672.872344
1.526554,60,124802.021446
0.005079,60,125192.126303
0.0,60,125270.987051
2.510204,60,125395.125915
1.3e-05,60,125527.497445
0.715712,60,125960.056741
0.000747,60,126286.613961
0.0,60,126400.382722
1.051889,60,126735.219076
0.0,60,126868.220222
1.761463,60,127096.148633
0.0,60,127218.635107
0.0,60,127372.151842
1.411929,60,127499.644635
0.0,60,127595.057257
1.625478,60,127743.047903
0.0,60,127852.877679
1.330497,60,127993.06493
0.318304,60,128370.843012
0.0,60,128502.188581
5.288173,60,128633.367323
0.636838,60,128921.908495
2.826774,60,129102.756086
0.183195,60,129506.188633
0.364308,60,129785.321843
2.005335,60,129890.705409
0.87978,60,130234.874472
0.80498,60,130438.187945
0.0,60,130566.036382
1.053214,60,130708.933395
0.005325,60,131170.45452
0.0,60,131562.925525
0.000867,60,132066.896517
0.0,60,132191.842082
1.680526,60,132429.928695
0.0,60,132547.621261
0.0,60,132959.336318
0.0,60,133081.547129
1.63756,60,133306.776832
2.950835,60,133542.623662
0.768079,60,133892.603404
6.2e-05,60,134309.264299
0.996139,60,134647.798107
0.002572,60,134833.607081
1.47868,60,135093.503625
2.010043,60,135224.204159
0.000283,60,135607.602283
0.111049,60,136011.687766
0.0,60,136141.8927
3.480488,60,136272.752248
0.0,60,136385.350558
0.0,60,136506.048804
1.058106,60,136740.298229
0.0,60,136865.908502
0.0,60,137002.980242
0.632419,60,137330.712198
2.189795,60,137499.220459
0.003303,60,137859.919667
0.001627,60,138256.80444
1.095874,60,138431.309047
0.574293,60,138743.825168
1.378667,60,138948.380557
0.694712,60,139271.502491
1.210699,60,139497.97925
0.0,60,139809.565833
2.505524,60,139941.12662
1.095457,60,140152.385285
0.424143,60,140417.345193
0.669816,60,140772.543965
0.0,60,141025.079159
0.6532,60,141234.396475
2.280369,60,141419.467057
0.005876,60,141753.567398
0.001155,60,142129.609478
1.588927,60,142315.647577
0.000111,60,142683.243821
0.0,60,142783.454456
1.151844,60,142948.42149
7.7e-05,60,143353.949444
0.0,60,143551.275377
0.431813,60,143753.05014
1.066836,60,144029.296567
1.319384,60,144267.141882
0.723194,60,144590.011593
0.001456,60,144994.454476
1.280633,60,145231.883665
0.000391,60,145721.770436
0.0,60,145807.605213
2.170008,60,146028.852331
0.0,60,146155.842756
0.750731,60,146542.010498
2.399774,60,146733.612261
0.0,60,147005.718544
0.517119,60,147338.238243
1.72211,60,147473.420665
0.000227,60,147738.134607
0.001078,60,148204.303937
2.439946,60,148406.142603
0.00047,60,148813.662141
0.722561,60,149031.967311
1.288762,60,149204.773645
0.299101,60,149545.280447
3.238198,60,149673.052814
1.327234,60,149901.955
1.649458,60,150129.915186
2.501022,60,150262.319894
4.483544,60,150397.668032
0.0,60,150717.580693
1.441605,60,150962.0009
1.827774,60,151131.134098
4.074828,60,151279.341284
0.005074,60,151723.334803
0.0,60,151846.614269
0.0,60,151985.594809
1.415955,60,152106.437739
1.56034,60,152324.637878
0.0,60,152428.444251
0.0,60,152589.456274
1.264666,60,152911.01112
2.385144,60,153084.989887
1.071429,60,153299.860275
1.234849,60,153575.693196
2.235055,60,153772.966553
2.193392,60,153945.377932
0.96204,60,154233.498485
1.596387,60,154534.032783
1.072046,60,154832.508506
1.342738,60,154971.483699
5.116983,60,155102.507554
0.392058,60,155330.727059
0.755822,60,155496.361187
1.908525,60,155630.590402
0.357143,60,155905.715008
3.297183,60,156020.19347
1.66413,60,156245.260032
2.513377,60,156483.791287
1.57845,60,156734.927714
2.449461,60,156896.26073
1.629687,60,157178.771602
0.0,60,157383.511761
2.921865,60,157599.973599
0.0,60,157727.909085
1.914771,60,157940.262399
0.612913,60,158167.30317
2.036602,60,158320.279837
1.515346,60,158498.295132
0.0,60,158575.747501
0.003322,60,158739.849931
1.468317,60,158989.118009
1.750046,60,159201.232677
0.000263,60,159643.192518
0.0,60,159764.045662
0.036004,60,160165.987239
1.500192,60,160333.354214
0.681108,60,160469.807092
2.988374,60,160602.362043
2.096972,60,160817.805154
1.457738,60,160958.118165
2.427533,60,161153.814015
0.191278,60,161510.131517
1.210135,60,161810.70531
0.566816,60,162134.006986
0.0,60,162259.885947
0.0,60,162392.565331
0.0,60,162896.295561
4.318068,60,163076.113944
0.0,60,163196.853265
5.224561,60,163328.919759
0.289394,60,163461.530541
1.724092,60,163734.074436
0.749781,60,163898.951448
2.024493,60,164135.071119
1.011048,60,164282.608254
1.997938,60,164551.874907
2.088765,60,164873.001995
1.504293,60,165051.286768
2.320074,60,165186.981456
2.201882,60,165378.448378
3.935791,60,165523.131537
2.278211,60,165660.365027
0.0,60,165780.465734
1.003047,60,166057.514108
0.0,60,166183.025192
0.285714,60,166323.101552
2.830373,60,166459.162358
0.0,60,166578.113346
0.0,60,166698.590976
4.652765,60,166829.969746
1.519107,60,166952.406811
0.0,60,167337.326423
2.536864,60,167503.742396
1.230532,60,167814.085151
1.108284,60,167973.390239
0.121084,60,168467.798477
1.886651,60,168624.929088
1.550762,60,168755.987572
4.022671,60,168884.661137
0.0,60,169168.77673
0.0,60,169246.547722
0.000387,60,169715.58074
0.0,60,169816.919502
0.831992,60,170106.470297
0.625318,60,170330.912492
1.883819,60,170485.945738
0.052085,60,170763.477293
1.392566,60,170995.838485
2.045898,60,171167.645274
0.754199,60,171492.907874
0.002502,60,171979.788936
0.261492,60,172351.521258
2.501214,60,172486.211293
1.151327,60,172737.299304
0.000127,60,173164.892291
1.105905,60,173315.634969
1.140053,60,173690.544058
0.151424,60,174100.431515
0.577068,60,174396.271357
1.621483,60,174566.928084
1.374625,60,174830.421932
0.065657,60,175238.024094
1.232867,60,175533.449529
3.201815,60,175659.602962
0.011598,60,176071.972318
0.914548,60,176203.797349
0.0,60,176279.35449
1.117816,60,176568.821316
0.123924,60,176896.63101
1.970308,60,177033.853999
0.917061,60,177391.495455
1.165953,60,177676.66791
0.456193,60,178066.365903
3.017767,60,178194.086859
3.71384,60,178384.774319
0.545976,60,178831.204491
0.002595,60,179315.47159
0.0,60,179530.749367
1.214838,60,179795.767733
1.41541,60,180122.731874
0.482105,60,180511.299556
0.812797,60,180724.352344
0.406002,60,181112.46843
0.186144,60,181522.224296
0.379677,60,181731.888148
0.002815,60,182002.425823
1.245929,60,182133.175215
0.000323,60,182510.856717
0.676917,60,182716.976454
2.528797,60,182859.320252
0.681977,60,183119.298424
0.000224,60,183422.004322
0.0,60,183742.774122
1.338803,60,184000.756005
0.0,60,184110.934743
0.000217,60,184602.499344
0.176514,60,184992.459204
2.038572,60,185192.218229
0.000245,60,185569.891598
0.241858,60,185898.072891
0.00282,60,186299.427914
0.000236,60,186713.443075
0.933998,60,187048.026302
0.626627,60,187360.51765
1.089323,60,187501.881711
0.0,60,187725.536694
4.928477,60,187863.877222
2.059688,60,188113.601484
0.0,60,188196.32428
1.865705,60,188342.273301
3.358303,60,188473.246582
1.57959,60,188643.927725
0.676798,60,188891.731975
4.162996,60,189019.091319
2.660371,60,189163.963172
2e-06,60,189503.764555
0.004321,60,189822.462842
0.428571,60,190096.534062
0.700275,60,190336.026281
0.0,60,190412.024237
0.0,60,190744.237394
0.0,60,191156.370121
0.219348,60,191485.119916
